ëŒã«é“,èÍïó,ã«êî,ñ{èÍ,ãüëı,é©ïó,éùÇøì_,ÉhÉâ,one,two,three,four,five,six,seven,eight,nine,ten,eleven,twelve,thirteen,ã«é˚éx,é˚éxîÕàÕ,ÉcÉÇ,ÉçÉì,ó¨ã«,ÉäÅ[É`,ÉäÅ[É`èÑñ⁄,ïõòI,É_É},ÉAÉKÉäèÑñ⁄,îN,åé,ì˙,ééçá
ê£åÀåF,ìÏ,2,0,0,ìå,29000,25,2,2,3,6,7,8,13,17,17,18,23,31,37,0,-1,,,,,,,,,2020,10,5,1
ì‡êÏ,ìÏ,2,0,0,ìÏ,11000,25,6,11,13,14,14,19,22,23,26,27,29,29,33,0,-1,,,,,,,,,2020,10,5,1
ìÒäKì∞,ìÏ,2,0,0,êº,34000,25,1,2,2,3,11,13,15,27,28,29,32,34,35,2000,1,,1,,,,,1,10,2020,10,5,1
çÇã{,ìÏ,3,0,0,êº,24000,9,1,4,7,7,23,27,27,31,35,35,36,36,37,-5800,-2,,1,,,,1,,,2020,10,5,1
ê£åÀåF,ìÏ,3,0,0,ñk,29000,9,1,2,3,4,5,13,14,16,17,30,26,31,33,0,-1,,,,,,,,,2020,10,5,1
ì‡êÏ,ìÏ,3,0,0,ìå,11000,9,5,6,7,9,20,17,17,18,22,22,24,25,26,5800,2,,1,,1,5,,,16,2020,10,5,1
ìÒäKì∞,ìÏ,3,0,0,ìÏ,36000,9,2,4,4,5,10,9,12,14,15,24,27,28,34,0,-1,,,,,,,,,2020,10,5,1
çÇã{,ìÏ,3,1,0,êº,18200,29,1,3,4,10,7,9,17,22,22,28,31,33,37,2300,1,1,,,,,1,,17,2020,10,5,1
ê£åÀåF,ìÏ,3,1,0,ñk,29000,29,3,5,6,6,8,9,12,13,20,16,18,21,29,-600,-1,1,,,,,,,,2020,10,5,1
ì‡êÏ,ìÏ,3,1,0,ìå,16800,29,4,8,11,13,14,21,25,28,29,34,34,35,36,-1100,-1,1,,,,,1,,,2020,10,5,1
ìÒäKì∞,ìÏ,3,1,0,ìÏ,36000,29,2,6,8,8,11,16,17,24,25,30,34,36,37,-600,-1,1,,,,,,,,2020,10,5,1
çÇã{,ìÏ,4,0,0,ìÏ,20500,12,4,5,8,9,9,9,13,14,15,22,32,33,34,0,-1,,,,,,,,,2020,10,5,1
ê£åÀåF,ìÏ,4,0,0,êº,28400,12,3,6,7,13,15,15,20,18,26,31,33,34,36,-2000,-1,,1,,,,,,,2020,10,5,1
ì‡êÏ,ìÏ,4,0,0,ñk,15700,12,1,12,12,16,17,25,29,29,31,32,33,35,37,0,-1,,,,,,1,,,2020,10,5,1
ìÒäKì∞,ìÏ,4,0,0,ìå,35400,12,1,1,1,7,8,16,21,22,23,27,27,32,37,2000,1,,1,,1,8,,,12,2020,10,5,1
çÇã{,ìÏ,4,1,0,ìÏ,20500,24,1,6,14,20,17,19,21,24,26,28,31,33,35,500,1,,,1,1,15,,,,2020,10,5,1
ê£åÀåF,ìÏ,4,1,0,êº,26400,24,5,6,9,13,13,13,16,16,17,22,30,29,34,500,1,,,1,1,15,,,,2020,10,5,1
ì‡êÏ,ìÏ,4,1,0,ñk,15700,24,1,2,2,4,10,7,9,11,12,22,27,28,37,-1500,-1,,,1,,,,,,2020,10,5,1
ìÒäKì∞,ìÏ,4,1,0,ìå,37400,24,3,5,6,11,15,18,18,22,23,25,27,28,33,-1500,-1,,,1,,,,,,2020,10,5,1
êŒã¥,ìå,1,0,0,ìå,25000,7,3,4,7,13,13,16,17,19,22,24,28,33,34,-3000,-1,1,,,1,13,,,,2020,10,6,1
ë∫è„,ìå,1,0,0,ìÏ,25000,7,3,3,9,9,20,16,22,22,25,33,34,36,37,5000,1,1,,,1,9,,,14,2020,10,6,1
ãﬂì°,ìå,1,0,0,êº,25000,7,4,11,11,19,21,23,25,28,29,33,34,36,37,-1000,-1,1,,,,,,,,2020,10,6,1
ëΩà‰,ìå,1,0,0,ñk,25000,7,1,2,2,5,12,12,16,18,18,24,27,28,34,-1000,-1,1,,,,,,,,2020,10,6,1
êŒã¥,ìå,2,0,0,ñk,22000,34,2,6,9,11,12,16,22,30,28,28,32,33,34,-1000,-1,1,,,,,,,,2020,10,6,1
ë∫è„,ìå,2,0,0,ìå,30000,34,1,8,17,18,19,19,21,27,28,29,33,36,37,3000,1,1,,,,,,,,2020,10,6,1
ãﬂì°,ìå,2,0,0,ìÏ,24000,34,4,6,6,13,13,15,17,23,26,32,33,35,35,-1000,-1,1,,,,,,,,2020,10,6,1
ëΩà‰,ìå,2,0,0,êº,24000,34,1,6,8,15,16,18,21,22,27,28,31,34,37,-1000,-1,1,,,1,9,,,13,2020,10,6,1
êŒã¥,ìå,2,1,0,ñk,21000,23,7,13,14,17,17,19,24,27,32,33,33,35,36,0,-1,,,,,,,,,2020,10,6,1
ë∫è„,ìå,2,1,0,ìå,33000,23,2,3,4,6,6,21,23,24,26,26,27,27,32,18300,2,,1,,1,9,,,10,2020,10,6,1
ãﬂì°,ìå,2,1,0,ìÏ,23000,23,7,11,12,13,18,22,23,23,24,26,29,31,37,-18300,-2,,1,,,,,,,2020,10,6,1
ëΩà‰,ìå,2,1,0,êº,23000,23,1,1,7,9,9,11,12,15,20,#N/A,32,36,37,0,-1,,,,,,,,,2020,10,6,1
êŒã¥,ìå,2,2,0,ñk,21000,5,1,6,8,11,12,17,18,23,24,30,29,33,35,-1000,-1,,,1,,,,,,2020,10,6,1
ë∫è„,ìå,2,2,0,ìå,51300,5,2,11,13,16,19,24,27,31,31,32,33,34,37,3000,1,,,1,,,2,,,2020,10,6,1
ãﬂì°,ìå,2,2,0,ìÏ,4700,5,1,5,9,15,17,18,19,21,24,26,34,36,37,-1000,-1,,,1,,,,,,2020,10,6,1
ëΩà‰,ìå,2,2,0,êº,23000,5,6,11,12,13,14,23,23,25,28,29,31,34,36,-1000,-1,,,1,,,,,,2020,10,6,1
êŒã¥,ìå,2,3,0,ñk,20000,11,1,1,3,6,11,12,15,16,22,23,26,27,28,0,-1,,,,,,,,,2020,10,6,1
ë∫è„,ìå,2,3,0,ìå,54300,11,2,4,5,6,7,9,11,12,18,25,27,33,37,-9900,-2,,1,,1,6,,,,2020,10,6,1
ãﬂì°,ìå,2,3,0,ìÏ,3700,11,1,10,6,9,13,18,21,22,28,28,32,34,35,0,-1,,,,,,,,,2020,10,6,1
ëΩà‰,ìå,2,3,0,êº,22000,11,2,3,5,14,15,16,17,26,27,32,32,33,36,9900,2,,1,,1,9,,,11,2020,10,6,1
êŒã¥,ìå,3,0,0,êº,20000,32,3,3,4,4,8,15,18,18,24,30,29,32,34,-1000,-1,,,1,,,,,,2020,10,6,1
ë∫è„,ìå,3,0,0,ñk,44400,32,2,4,5,7,12,16,17,17,17,22,26,28,35,-1000,-1,,,1,,,1,,,2020,10,6,1
ãﬂì°,ìå,3,0,0,ìå,3700,32,6,7,7,11,12,14,19,27,28,28,31,31,34,3000,1,,,1,,,1,,,2020,10,6,1
ëΩà‰,ìå,3,0,0,ìÏ,31900,32,1,3,4,6,11,12,13,13,18,24,25,29,34,-1000,-1,,,1,,,,,,2020,10,6,1
êŒã¥,ìå,3,1,0,êº,19000,25,4,6,11,12,15,16,18,18,21,21,23,26,32,-1000,-1,,,,1,7,,,,2020,10,6,1
ë∫è„,ìå,3,1,0,ñk,43400,25,1,1,1,2,8,12,15,16,19,21,28,32,35,0,-1,,,,,,,,,2020,10,6,1
ãﬂì°,ìå,3,1,0,ìå,6700,25,1,2,3,7,11,22,24,25,#N/A,27,28,34,36,9000,2,,1,,1,12,,,15,2020,10,6,1
ëΩà‰,ìå,3,1,0,ìÏ,30900,25,6,6,9,11,13,18,19,22,26,27,31,32,37,8000,2,,1,,,,,,,2020,10,6,1
êŒã¥,ìå,3,2,0,êº,18000,15,3,3,4,8,9,12,12,18,26,33,33,34,34,0,-1,,,,,,1,,,2020,10,6,1
ë∫è„,ìå,3,2,0,ñk,43400,15,1,1,4,6,7,13,13,16,17,22,29,32,35,0,-1,,,,,,,,,2020,10,6,1
ãﬂì°,ìå,3,2,0,ìå,15700,15,1,2,2,3,3,12,13,25,26,28,35,35,36,-9600,-2,,1,,1,6,,,,2020,10,6,1
ëΩà‰,ìå,3,2,0,ìÏ,22900,15,10,9,21,22,24,24,30,27,28,32,36,36,37,9600,2,,1,,,,1,,9,2020,10,6,1
êŒã¥,ìå,4,0,0,ìÏ,18000,,2,7,8,9,12,16,18,22,25,29,32,34,35,-1500,-1,,,1,,,,,,2020,10,6,1
ë∫è„,ìå,4,0,0,êº,43400,,1,12,15,17,17,19,26,26,32,32,33,36,37,-1500,-1,,,1,,,,,,2020,10,6,1
ãﬂì°,ìå,4,0,0,ñk,6100,,4,6,7,13,14,15,16,18,28,31,34,34,35,1500,1,,,1,,,1,,,2020,10,6,1
ëΩà‰,ìå,4,0,0,ìå,32500,,3,3,4,7,8,13,14,16,19,22,23,27,31,500,1,,,1,1,4,,,,2020,10,6,1
êŒã¥,ìå,4,1,1,ìÏ,16500,36,3,7,11,12,14,15,17,21,22,26,33,36,37,-8300,-2,,1,,,,,,,2020,10,6,1
ë∫è„,ìå,4,1,1,êº,41900,36,2,3,17,18,18,19,22,23,24,25,27,28,33,9300,2,,1,,,,,1,16,2020,10,6,1
ãﬂì°,ìå,4,1,1,ñk,7600,36,1,4,5,9,20,26,27,28,29,29,29,35,35,0,-1,,,,,,1,,,2020,10,6,1
ëΩà‰,ìå,4,1,1,ìå,33000,36,1,3,10,6,7,16,19,21,24,24,26,31,36,0,-1,,,,,,,,,2020,10,6,1
êŒã¥,ìÏ,1,0,0,ìå,8200,11,3,4,6,7,7,16,17,18,21,22,23,32,37,2000,1,,,1,1,6,,,,2020,10,6,1
ë∫è„,ìÏ,1,0,0,ìÏ,51200,11,1,4,6,9,19,19,23,27,29,29,34,35,36,-1000,-1,,,1,,,,,,2020,10,6,1
ãﬂì°,ìÏ,1,0,0,êº,7600,11,2,3,5,10,8,8,20,23,30,26,33,35,36,-1000,-1,,,1,,,2,,,2020,10,6,1
ëΩà‰,ìÏ,1,0,0,ñk,33000,11,4,6,6,7,7,9,11,11,16,17,18,25,36,-1000,-1,,,1,,,,,,2020,10,6,1
êŒã¥,ìÏ,1,1,1,ìå,10200,24,1,4,7,8,9,15,16,17,19,24,32,33,33,-4100,-2,1,,,,,,,,2020,10,6,1
ë∫è„,ìÏ,1,1,1,ìÏ,50200,24,2,3,4,7,11,16,18,19,24,#N/A,26,31,35,9300,2,1,,,1,5,,,8,2020,10,6,1
ãﬂì°,ìÏ,1,1,1,êº,6600,24,2,6,13,14,14,17,17,23,23,26,28,29,35,-2100,-1,1,,,,,,,,2020,10,6,1
ëΩà‰,ìÏ,1,1,1,ñk,32000,24,2,3,4,5,10,6,16,22,22,24,26,29,37,-2100,-1,1,,,1,,,,,2020,10,6,1
êŒã¥,ìÏ,2,0,0,ñk,6100,,4,6,12,15,21,23,27,28,31,31,32,32,33,2000,1,,1,,,,2,,7,2020,10,6,1
ë∫è„,ìÏ,2,0,0,ìå,59500,,1,3,9,16,17,18,19,22,23,25,25,37,37,0,-1,,,,,,,,,2020,10,6,1
ãﬂì°,ìÏ,2,0,0,êº,4500,,1,2,6,6,9,11,16,17,18,24,28,33,37,-2000,-1,,1,,,,2,,,2020,10,6,1
ëΩà‰,ìÏ,2,0,0,ìÏ,29900,,2,4,8,11,12,13,19,21,22,27,27,31,33,0,-1,,,,,,,,,2020,10,6,1
êŒã¥,ìÏ,3,0,0,êº,8100,8,4,8,11,12,14,16,27,28,31,33,34,36,36,0,-1,,,,,,1,,,2020,10,6,1
ë∫è„,ìÏ,3,0,0,ñk,59500,8,2,10,6,7,8,11,12,16,18,22,25,31,32,6200,2,,1,,,,1,,11,2020,10,6,1
ãﬂì°,ìÏ,3,0,0,ìå,2500,8,4,4,6,7,8,12,16,17,21,25,30,26,29,-1000,-1,,,,1,11,,,,2020,10,6,1
ëΩà‰,ìÏ,3,0,0,ìÏ,29900,8,2,3,9,9,12,14,19,24,27,31,33,35,37,-5200,-2,,1,,,,,,,2020,10,6,1
êŒã¥,ìÏ,4,0,0,ìÏ,8100,11,2,3,5,7,11,11,15,21,24,27,27,28,28,-1000,-1,,,,1,11,,,,2020,10,6,1
ë∫è„,ìÏ,4,0,0,êº,65700,11,1,1,2,3,13,14,16,17,17,25,28,33,34,-8000,-2,,1,,,,,,,2020,10,6,1
ãﬂì°,ìÏ,4,0,0,ñk,1500,11,12,12,16,17,22,22,23,26,31,35,36,36,36,9000,2,,1,,1,10,,,11,2020,10,6,1
ëΩà‰,ìÏ,4,0,0,ìå,24700,11,4,4,6,6,7,9,25,25,26,27,27,29,32,0,-1,,,,,,,,,2020,10,6,1
îííπ,ìå,1,0,0,ìå,25000,5,7,8,11,11,16,21,23,27,29,31,33,33,34,-6000,-2,1,,,,,,,,2020,10,6,2
òaãví√,ìå,1,0,0,ìÏ,25000,5,2,5,10,6,8,13,15,23,30,28,32,35,36,12000,2,1,,,,,2,,13,2020,10,6,2
óÈñÿ,ìå,1,0,0,êº,25000,5,2,5,9,13,13,13,14,18,23,31,34,35,36,-3000,-1,1,,,,,,,,2020,10,6,2
êêå¥,ìå,1,0,0,ñk,25000,5,3,8,12,15,16,18,19,21,22,26,26,31,36,-3000,-1,1,,,,,,,,2020,10,6,2
îííπ,ìå,2,0,0,ñk,19000,24,2,4,5,10,6,7,9,12,12,21,22,25,37,-1000,-1,,,1,,,,,,2020,10,6,2
òaãví√,ìå,2,0,0,ìå,37000,24,2,2,4,11,16,16,21,21,28,31,34,35,37,-1000,-1,,,1,,,,,,2020,10,6,2
óÈñÿ,ìå,2,0,0,ìÏ,22000,24,8,9,14,14,15,15,17,18,23,32,32,34,37,2000,1,,,1,1,10,,,,2020,10,6,2
êêå¥,ìå,2,0,0,êº,22000,24,3,6,9,12,14,14,18,22,23,25,27,31,36,-1000,-1,,,1,,,,,,2020,10,6,2
îííπ,ìå,3,1,1,êº,18000,13,2,2,3,5,11,11,14,15,16,24,26,26,37,2600,1,,1,,,,,1,7,2020,10,6,2
òaãví√,ìå,3,1,1,ñk,36000,13,2,10,8,9,9,13,21,22,26,26,33,33,37,0,-1,,,,,,,,,2020,10,6,2
óÈñÿ,ìå,3,1,1,ìå,24000,13,5,6,7,11,15,17,18,24,28,29,29,31,34,0,-1,,,,,,,,,2020,10,6,2
êêå¥,ìå,3,1,1,ìÏ,21000,13,4,6,9,13,13,16,27,27,29,29,32,34,36,-1600,-1,,1,,,,,,,2020,10,6,2
îííπ,ìå,4,0,0,ìÏ,20600,3,3,4,7,8,9,14,14,19,22,26,27,27,35,0,-1,,,,,,,,,2020,10,6,2
òaãví√,ìå,4,0,0,êº,36000,3,1,1,10,8,9,13,14,14,19,19,22,32,32,0,-1,,,,,,,,,2020,10,6,2
óÈñÿ,ìå,4,0,0,ñk,24000,3,3,5,6,18,18,23,24,24,25,30,36,37,37,8000,2,,1,,1,5,,,7,2020,10,6,2
êêå¥,ìå,4,0,0,ìå,19400,3,3,5,6,11,13,20,16,17,17,19,28,29,31,-8000,-2,,1,,,,,,,2020,10,6,2
îííπ,ìÏ,1,0,0,ìå,20600,9,3,5,6,6,12,14,17,19,19,21,26,29,34,-6200,-2,,1,,1,9,1,,,2020,10,6,2
òaãví√,ìÏ,1,0,0,ìÏ,36000,9,1,2,4,5,8,9,11,16,22,27,31,33,36,0,-1,,,,,,,,,2020,10,6,2
óÈñÿ,ìÏ,1,0,0,êº,32000,9,2,4,7,8,13,14,18,24,25,28,28,33,37,6200,2,,1,,1,6,,,13,2020,10,6,2
êêå¥,ìÏ,1,0,0,ñk,11400,9,1,12,15,20,16,18,22,24,26,29,31,33,36,0,-1,,,,,,,,,2020,10,6,2
îííπ,ìÏ,2,0,0,ñk,14400,22,3,4,8,11,15,16,22,24,30,26,28,29,36,-3000,-1,1,,,1,4,,,,2020,10,6,2
òaãví√,ìÏ,2,0,0,ìå,36000,22,7,12,12,12,13,19,21,25,26,28,31,33,34,-4000,-2,1,,,,,,,,2020,10,6,2
óÈñÿ,ìÏ,2,0,0,ìÏ,38200,22,5,10,7,8,11,15,16,17,22,23,24,27,36,9000,2,1,,,1,4,,,17,2020,10,6,2
êêå¥,ìÏ,2,0,0,êº,11400,22,2,2,5,6,17,17,24,25,27,28,32,35,36,-2000,-1,1,,,,,,,,2020,10,6,2
îííπ,ìÏ,3,0,0,êº,11400,34,1,1,3,11,20,18,21,22,22,22,32,34,37,-1500,-1,,,1,,,,,,2020,10,6,2
òaãví√,ìÏ,3,0,0,ñk,32000,34,3,4,9,12,13,17,17,21,21,25,26,29,34,500,1,,,1,1,7,,,,2020,10,6,2
óÈñÿ,ìÏ,3,0,0,ìå,47200,34,1,2,4,10,9,12,14,15,24,28,33,35,37,-1500,-1,,,1,,,,,,2020,10,6,2
êêå¥,ìÏ,3,0,0,ìÏ,9400,34,5,9,13,14,18,18,24,27,27,32,32,32,33,500,1,,,1,1,9,,,,2020,10,6,2
îííπ,ìÏ,4,1,2,ìÏ,9900,18,3,5,8,9,13,14,16,17,21,33,34,37,37,-800,-1,1,,,,,1,,,2020,10,6,2
òaãví√,ìÏ,4,1,2,êº,32500,18,2,4,11,12,13,16,18,24,25,25,26,29,35,-800,-1,1,,,,,,,,2020,10,6,2
óÈñÿ,ìÏ,4,1,2,ñk,45700,18,3,4,6,7,9,12,14,18,23,25,27,33,34,-800,-1,1,,,,,,,,2020,10,6,2
êêå¥,ìÏ,4,1,2,ìå,9900,18,3,9,18,19,19,19,23,26,29,31,33,35,36,4400,1,1,,,,,1,,12,2020,10,6,2
îííπ,ìÏ,4,2,0,ìÏ,9100,14,2,3,6,7,12,14,20,18,21,23,24,33,35,8600,2,,1,,,,,1,16,2020,10,6,2
òaãví√,ìÏ,4,2,0,êº,31700,14,1,3,6,13,22,26,27,27,28,31,32,33,34,-8600,-2,,1,,,,,,,2020,10,6,2
óÈñÿ,ìÏ,4,2,0,ñk,44900,14,5,8,9,9,13,13,16,18,19,21,25,27,28,0,-1,,,,,,,,,2020,10,6,2
êêå¥,ìÏ,4,2,0,ìå,14300,14,1,3,11,12,12,17,21,23,26,28,29,37,37,0,-1,,,,,,1,,,2020,10,6,2
äùêX,ìå,1,0,0,ìå,25000,6,5,10,8,13,13,14,14,15,19,29,33,35,36,-4000,-2,1,,,,,,,,2020,10,8,1
ëÍëÚ,ìå,1,0,0,ìÏ,25000,6,1,2,3,6,8,9,16,18,25,28,28,37,37,8000,2,1,,,,,1,,9,2020,10,8,1
ëOå¥,ìå,1,0,0,êº,25000,6,1,2,3,4,7,11,12,14,17,19,31,34,34,-2000,-1,1,,,,,,,,2020,10,8,1
âÄìc,ìå,1,0,0,ñk,25000,6,4,7,8,12,14,18,18,27,27,29,32,35,37,-2000,-1,1,,,,,,,,2020,10,8,1
äùêX,ìå,2,0,0,ñk,21000,23,1,6,8,14,15,17,22,24,28,31,31,33,35,4000,1,1,,,1,10,,,17,2020,10,8,1
ëÍëÚ,ìå,2,0,0,ìå,33000,23,2,3,4,10,7,7,8,12,19,23,26,27,36,-2000,-1,1,,,,,,,,2020,10,8,1
ëOå¥,ìå,2,0,0,ìÏ,23000,23,2,8,9,12,13,16,21,22,24,25,30,28,32,-1000,-1,1,,,,,,,,2020,10,8,1
âÄìc,ìå,2,0,0,êº,23000,23,2,3,4,5,17,24,26,26,27,29,32,36,37,-1000,-1,1,,,,,,,,2020,10,8,1
äùêX,ìå,3,0,0,êº,25000,21,1,2,2,4,7,8,9,11,11,16,25,26,37,-2000,-1,1,,,,,,,,2020,10,8,1
ëÍëÚ,ìå,3,0,0,ñk,31000,21,3,3,12,15,15,20,18,26,31,32,33,36,37,9000,2,1,,,,,,1,11,2020,10,8,1
ëOå¥,ìå,3,0,0,ìå,22000,21,1,2,9,15,16,18,19,21,23,24,27,31,36,-5000,-2,1,,,1,9,,,,2020,10,8,1
âÄìc,ìå,3,0,0,ìÏ,22000,21,1,2,3,7,7,16,17,21,32,33,34,36,36,-2000,-1,1,,,,,,,,2020,10,8,1
äùêX,ìå,4,0,0,ìÏ,23000,18,1,3,7,12,14,15,20,16,26,28,34,34,36,8000,2,1,,,1,10,,,11,2020,10,8,1
ëÍëÚ,ìå,4,0,0,êº,40000,18,3,10,6,9,17,17,19,23,25,27,31,33,37,-2000,-1,1,,,,,,,,2020,10,8,1
ëOå¥,ìå,4,0,0,ñk,17000,18,2,6,11,12,13,14,15,21,21,22,22,27,32,-2000,-1,1,,,,,,,,2020,10,8,1
âÄìc,ìå,4,0,0,ìå,20000,18,5,9,11,18,22,23,24,30,27,28,29,31,32,-4000,-2,1,,,,,,,,2020,10,8,1
äùêX,ìÏ,1,0,0,ìå,31000,21,3,4,4,4,8,9,14,16,16,17,21,30,34,13000,2,,1,,1,13,,,14,2020,10,8,1
ëÍëÚ,ìÏ,1,0,0,ìÏ,38000,21,5,7,14,16,18,21,27,27,28,31,33,33,37,0,-1,,,,,,,,,2020,10,8,1
ëOå¥,ìÏ,1,0,0,êº,15000,21,1,2,3,12,12,22,23,24,29,31,33,34,36,-13000,-2,,1,,1,7,,,,2020,10,8,1
âÄìc,ìÏ,1,0,0,ñk,16000,21,3,10,11,17,18,22,23,25,29,32,32,33,36,0,-1,,,,,,,,,2020,10,8,1
äùêX,ìÏ,1,1,0,ìå,44000,19,3,3,4,8,11,14,16,18,24,26,26,32,35,18300,2,1,,,1,10,,,12,2020,10,8,1
ëÍëÚ,ìÏ,1,1,0,ìÏ,38000,19,13,13,14,14,16,21,22,25,28,28,33,35,36,-6100,-2,1,,,,,,,,2020,10,8,1
ëOå¥,ìÏ,1,1,0,êº,2000,19,1,6,7,8,9,11,12,12,23,23,25,28,32,-6100,-2,1,,,,,,,,2020,10,8,1
âÄìc,ìÏ,1,1,0,ñk,16000,19,4,7,8,11,15,22,23,24,26,29,31,33,35,-6100,-2,1,,,,,,,,2020,10,8,1
äùêX,ìÏ,1,2,0,ìå,62300,5,2,6,11,12,13,14,21,25,30,29,31,36,36,-1000,-1,,,,1,8,,,,2020,10,8,1
ëÍëÚ,ìÏ,1,2,0,ìÏ,31900,5,8,11,12,13,16,17,18,21,24,33,33,36,37,9600,2,,1,,,,,1,12,2020,10,8,1
ëOå¥,ìÏ,1,2,0,êº,-4100,5,3,3,6,7,9,12,16,18,19,22,22,32,35,0,-1,,,,,,,,,2020,10,8,1
âÄìc,ìÏ,1,2,0,ñk,9900,5,5,6,14,15,15,18,19,21,26,26,31,35,36,-8600,-2,,1,,,,,,,2020,10,8,1
äùêX,ìÏ,2,0,0,ñk,61300,12,1,3,9,11,18,19,24,25,28,28,31,33,36,-3000,-1,1,,,,,,,,2020,10,8,1
ëÍëÚ,ìÏ,2,0,0,ìå,41500,12,7,12,13,14,14,14,24,25,27,28,29,31,37,-6000,-2,1,,,,,,,,2020,10,8,1
ëOå¥,ìÏ,2,0,0,ìÏ,-4100,12,4,6,7,11,13,20,17,19,19,23,31,33,33,-3000,-1,1,,,,,,,,2020,10,8,1
âÄìc,ìÏ,2,0,0,êº,1300,12,5,5,7,8,12,13,13,18,22,23,26,33,36,12000,2,1,,,1,9,,,10,2020,10,8,1
äùêX,ìÏ,3,0,0,êº,58300,1,2,3,3,10,9,11,15,18,25,26,32,34,34,-1000,-1,,1,,,,,,,2020,10,8,1
